id,dist_id,reg_id,name
district_1,1101010,1101,TEUPAH SELATAN
district_2,1101020,1101,SIMEULUE TIMUR
district_3,1101021,1101,TEUPAH BARAT
district_4,1101022,1101,TEUPAH TENGAH
district_5,1101030,1101,SIMEULUE TENGAH
district_6,1101031,1101,TELUK DALAM
district_7,1101032,1101,SIMEULUE CUT
district_8,1101040,1101,SALANG
district_9,1101050,1101,SIMEULUE BARAT
district_10,1101051,1101,ALAFAN
district_11,1102010,1102,PULAU BANYAK
district_12,1102011,1102,PULAU BANYAK BARAT
district_13,1102020,1102,SINGKIL
district_14,1102021,1102,SINGKIL UTARA
district_15,1102022,1102,KUALA BARU
district_16,1102030,1102,SIMPANG KANAN
district_17,1102031,1102,GUNUNG MERIAH
district_18,1102032,1102,DANAU PARIS
district_19,1102033,1102,SURO
district_20,1102042,1102,SINGKOHOR
district_21,1102043,1102,KOTA BAHARU
district_22,1103010,1103,TRUMON
district_23,1103011,1103,TRUMON TIMUR
district_24,1103012,1103,TRUMON TENGAH
district_25,1103020,1103,BAKONGAN
district_26,1103021,1103,BAKONGAN TIMUR
district_27,1103022,1103,KOTA BAHAGIA
district_28,1103030,1103,KLUET SELATAN
district_29,1103031,1103,KLUET TIMUR
district_30,1103040,1103,KLUET UTARA
district_31,1103041,1103,PASIE RAJA
district_32,1103042,1103,KLUET TENGAH
district_33,1103050,1103,TAPAK TUAN
district_34,1103060,1103,SAMA DUA
district_35,1103070,1103,SAWANG
district_36,1103080,1103,MEUKEK
district_37,1103090,1103,LABUHAN HAJI
district_38,1103091,1103,LABUHAN HAJI TIMUR
district_39,1103092,1103,LABUHAN HAJI BARAT
district_40,1104010,1104,LAWE ALAS
district_41,1104011,1104,BABUL RAHMAH
district_42,1104012,1104,TANOH ALAS
district_43,1104020,1104,LAWE SIGALA-GALA
district_44,1104021,1104,BABUL MAKMUR
district_45,1104022,1104,SEMADAM
district_46,1104023,1104,LEUSER
district_47,1104030,1104,BAMBEL
district_48,1104031,1104,BUKIT TUSAM
district_49,1104032,1104,LAWE SUMUR
district_50,1104040,1104,BABUSSALAM
district_51,1104041,1104,LAWE BULAN
district_52,1104050,1104,BADAR
district_53,1104051,1104,DARUL HASANAH
district_54,1104052,1104,KETAMBE
district_55,1104053,1104,DELENG POKHKISEN
district_56,1105080,1105,SERBA JADI
district_57,1105081,1105,SIMPANG JERNIH
district_58,1105082,1105,PEUNARON
district_59,1105090,1105,BIREM BAYEUN
district_60,1105100,1105,RANTAU SELAMAT
district_61,1105101,1105,SUNGAI RAYA
district_62,1105110,1105,PEUREULAK
district_63,1105111,1105,PEUREULAK TIMUR
district_64,1105112,1105,PEUREULAK BARAT
district_65,1105120,1105,RANTO PEUREULAK
district_66,1105130,1105,IDI RAYEUK
district_67,1105131,1105,PEUDAWA
district_68,1105132,1105,BANDA ALAM
district_69,1105133,1105,IDI TUNONG
district_70,1105134,1105,DARUL IHSAN
district_71,1105135,1105,IDI TIMUR
district_72,1105140,1105,DARUL AMAN
district_73,1105150,1105,NURUSSALAM
district_74,1105151,1105,DARUL FALAH
district_75,1105160,1105,JULOK
district_76,1105161,1105,INDRA MAKMUR
district_77,1105170,1105,PANTE BIDARI
district_78,1105180,1105,SIMPANG ULIM
district_79,1105181,1105,MADAT
district_80,1106010,1106,LINGE
district_81,1106011,1106,ATU LINTANG
district_82,1106012,1106,JAGONG JEGET
district_83,1106020,1106,BINTANG
district_84,1106031,1106,LUT TAWAR
district_85,1106032,1106,KEBAYAKAN
district_86,1106040,1106,PEGASING
district_87,1106041,1106,BIES
district_88,1106050,1106,BEBESEN
district_89,1106051,1106,KUTE PANANG
district_90,1106060,1106,SILIH NARA
district_91,1106061,1106,KETOL
district_92,1106062,1106,CELALA
district_93,1106063,1106,RUSIP ANTARA
district_94,1107050,1107,JOHAN PAHLAWAN
district_95,1107060,1107,SAMATIGA
district_96,1107061,1107,BUBON
