id,prov_id,name
province_1,11,ACEH
province_2,12,SUMATERA UTARA
province_3,13,SUMATERA BARAT
province_4,14,RIAU
province_5,15,JAMBI
province_6,16,SUMATERA SELATAN
province_7,17,BENGKULU
province_8,18,LAMPUNG
province_9,19,KEPULAUAN BANGKA BELITUNG
province_10,21,KEPULAUAN RIAU
province_11,31,DKI JAKARTA
province_12,32,JAWA BARAT
province_13,33,JAWA TENGAH
province_14,34,DI YOGYAKARTA
province_15,35,JAWA TIMUR
province_16,36,BANTEN
province_17,51,BALI
province_18,52,NUSA TENGGARA BARAT
province_19,53,NUSA TENGGARA TIMUR
province_20,61,KALIMANTAN BARAT
province_21,62,KALIMANTAN TENGAH
province_22,63,KALIMANTAN SELATAN
province_23,64,KALIMANTAN TIMUR
province_24,65,KALIMANTAN UTARA
province_25,71,SULAWESI UTARA
province_26,72,SULAWESI TENGAH
province_27,73,SULAWESI SELATAN
province_28,74,SULAWESI TENGGARA
province_29,75,GORONTALO
province_30,76,SULAWESI BARAT
province_31,81,MALUKU
province_32,82,MALUKU UTARA
province_33,91,PAPUA BARAT
province_34,94,PAPUA
