id,reg_id,prov_id,name
region_1,1101,11,KABUPATEN SIMEULUE
region_2,1102,11,KABUPATEN ACEH SINGKIL
region_3,1103,11,KABUPATEN ACEH SELATAN
region_4,1104,11,KABUPATEN ACEH TENGGARA
region_5,1105,11,KABUPATEN ACEH TIMUR
region_6,1106,11,KABUPATEN ACEH TENGAH
region_7,1107,11,KABUPATEN ACEH BARAT
region_8,1108,11,KABUPATEN ACEH BESAR
region_9,1109,11,KABUPATEN PIDIE
region_10,1110,11,KABUPATEN BIREUEN
region_11,1111,11,KABUPATEN ACEH UTARA
region_12,1112,11,KABUPATEN ACEH BARAT DAYA
region_13,1113,11,KABUPATEN GAYO LUES
region_14,1114,11,KABUPATEN ACEH TAMIANG
region_15,1115,11,KABUPATEN NAGAN RAYA
region_16,1116,11,KABUPATEN ACEH JAYA
region_17,1117,11,KABUPATEN BENER MERIAH
region_18,1118,11,KABUPATEN PIDIE JAYA
region_19,1171,11,KOTA BANDA ACEH
region_20,1172,11,KOTA SABANG
region_21,1173,11,KOTA LANGSA
region_22,1174,11,KOTA LHOKSEUMAWE
region_23,1175,11,KOTA SUBULUSSALAM
region_24,1201,12,KABUPATEN NIAS
region_25,1202,12,KABUPATEN MANDAILING NATAL
region_26,1203,12,KABUPATEN TAPANULI SELATAN
region_27,1204,12,KABUPATEN TAPANULI TENGAH
region_28,1205,12,KABUPATEN TAPANULI UTARA
region_29,1206,12,KABUPATEN TOBA SAMOSIR
region_30,1207,12,KABUPATEN LABUHAN BATU
region_31,1208,12,KABUPATEN ASAHAN
region_32,1209,12,KABUPATEN SIMALUNGUN
region_33,1210,12,KABUPATEN DAIRI
region_34,1211,12,KABUPATEN KARO
region_35,1212,12,KABUPATEN DELI SERDANG
region_36,1213,12,KABUPATEN LANGKAT
region_37,1214,12,KABUPATEN NIAS SELATAN
region_38,1215,12,KABUPATEN HUMBANG HASUNDUTAN
region_39,1216,12,KABUPATEN PAKPAK BHARAT
region_40,1217,12,KABUPATEN SAMOSIR
region_41,1218,12,KABUPATEN SERDANG BEDAGAI
region_42,1219,12,KABUPATEN BATU BARA
region_43,1220,12,KABUPATEN PADANG LAWAS UTARA
region_44,1221,12,KABUPATEN PADANG LAWAS
region_45,1222,12,KABUPATEN LABUHAN BATU SELATAN
region_46,1223,12,KABUPATEN LABUHAN BATU UTARA
region_47,1224,12,KABUPATEN NIAS UTARA
region_48,1225,12,KABUPATEN NIAS BARAT
region_49,1271,12,KOTA SIBOLGA
region_50,1272,12,KOTA TANJUNG BALAI
region_51,1273,12,KOTA PEMATANG SIANTAR
region_52,1274,12,KOTA TEBING TINGGI
region_53,1275,12,KOTA MEDAN
region_54,1276,12,KOTA BINJAI
region_55,1277,12,KOTA PADANGSIDIMPUAN
region_56,1278,12,KOTA GUNUNGSITOLI
region_57,1301,13,KABUPATEN KEPULAUAN MENTAWAI
region_58,1302,13,KABUPATEN PESISIR SELATAN
region_59,1303,13,KABUPATEN SOLOK
region_60,1304,13,KABUPATEN SIJUNJUNG
region_61,1305,13,KABUPATEN TANAH DATAR
region_62,1306,13,KABUPATEN PADANG PARIAMAN
region_63,1307,13,KABUPATEN AGAM
region_64,1308,13,KABUPATEN LIMA PULUH KOTA
region_65,1309,13,KABUPATEN PASAMAN
region_66,1310,13,KABUPATEN SOLOK SELATAN
region_67,1311,13,KABUPATEN DHARMASRAYA
region_68,1312,13,KABUPATEN PASAMAN BARAT
region_69,1371,13,KOTA PADANG
region_70,1372,13,KOTA SOLOK
region_71,1373,13,KOTA SAWAH LUNTO
region_72,1374,13,KOTA PADANG PANJANG
region_73,1375,13,KOTA BUKITTINGGI
region_74,1376,13,KOTA PAYAKUMBUH
