id,vill_id,dist_id,name
village_1,1101010001,1101010,LATIUNG
village_2,1101010002,1101010,LABUHAN BAJAU
village_3,1101010003,1101010,SUAK LAMATAN
village_4,1101010004,1101010,ANA AO
village_5,1101010005,1101010,LATALING
village_6,1101010006,1101010,PULAU BENGKALAK
village_7,1101010007,1101010,BADEGONG
village_8,1101010008,1101010,KEBUN BARU
village_9,1101010009,1101010,ULUL MAYANG
village_10,1101010010,1101010,PASIR TINGGI
village_11,1101010011,1101010,LABUHAN JAYA
village_12,1101010012,1101010,LABUHAN BAKTI
village_13,1101010013,1101010,BATU RALANG
village_14,1101010014,1101010,ALUS ALUS
village_15,1101010015,1101010,SEUNEUBOK
village_16,1101010016,1101010,BLANG SEBEL
village_17,1101010017,1101010,TRANS BARU
village_18,1101010018,1101010,TRANS MERANTI
village_19,1101010019,1101010,TRANS JERNGE
village_20,1101020022,1101020,AIR PINANG
village_21,1101020023,1101020,KUALA MAKMUR
village_22,1101020024,1101020,GANTING
village_23,1101020025,1101020,LINGGI
village_24,1101020026,1101020,LUGU
village_25,1101020027,1101020,SINABANG
village_26,1101020028,1101020,SUKA MAJU
village_27,1101020029,1101020,SUKA KARYA
village_28,1101020030,1101020,SUKA JAYA
village_29,1101020031,1101020,AIR DINGIN
village_30,1101020032,1101020,KOTA BATU
village_31,1101020035,1101020,SUAK BULUH
village_32,1101020036,1101020,UJUNG TINGGI
village_33,1101020037,1101020,PULAU SIUMAT
village_34,1101020038,1101020,SEFOYAN
village_35,1101020039,1101020,AMAITENG MULIA
village_36,1101020040,1101020,AMERIA BAHAGIA
village_37,1101021001,1101021,SITAL
village_38,1101021002,1101021,LEUBANG
village_39,1101021003,1101021,LEUBANG HULU
village_40,1101021004,1101021,AWE SEUBAL
village_41,1101021005,1101021,LANTIK
village_42,1101021006,1101021,AWE KECIL
village_43,1101021007,1101021,SALUR
village_44,1101021008,1101021,SALUR LATUN
village_45,1101021009,1101021,SALUR LASENGALU
village_46,1101021010,1101021,NANCALA
village_47,1101021011,1101021,MAUDIL
village_48,1101021012,1101021,INOR
village_49,1101021013,1101021,NAIBOS
village_50,1101021014,1101021,LAAYON
village_51,1101021015,1101021,ANGKEO
village_52,1101021016,1101021,BUNON
village_53,1101021017,1101021,SILENGAS
village_54,1101021018,1101021,PULAU TEUPAH
village_55,1101022001,1101022,KAHAT
village_56,1101022002,1101022,BUSUNG INDAH
village_57,1101022003,1101022,NANCAWA
village_58,1101022004,1101022,LABUAH
village_59,1101022005,1101022,ABAIL
village_60,1101022006,1101022,SIMPANG ABAIL
village_61,1101022007,1101022,LANTING
village_62,1101022008,1101022,LASIKIN
village_63,1101022009,1101022,MATANURUNG
village_64,1101022010,1101022,SUA SUA
village_65,1101022011,1101022,BATU BATU
village_66,1101022012,1101022,SITUBUK
village_67,1101030001,1101030,DIHIT
village_68,1101030002,1101030,LAUKE
village_69,1101030003,1101030,LAMBAYA
village_70,1101030004,1101030,LAKUBANG
village_71,1101030005,1101030,KAMPUNG AIE
village_72,1101030006,1101030,LAUREE
village_73,1101030007,1101030,LATITIK
village_74,1101030008,1101030,LAMAYANG
